"","kon_moment1","kon_moment2","kon_moment3","kon_fano","koff_moment1","koff_moment2","koff_moment3","koff_fano","kb_moment1","kb_moment2","kb_moment3","kb_fano","theta_moment1","theta_moment2","theta_moment3","theta_fano"
"gene9021",0.994561695222274,18.7350990898949,331.294799025272,0.413856788838984,1.26457043059247,27.8660721875212,548.348508573326,1.49559685524991,0.22669777166584,5.61970608714546,121.068308089889,0.417713792444374,10.0904774580357,130.458821203661,1941.28201201238,10.0904774669175
"gene9022",2.32529137278448,62.1113136389795,1559.17895426683,1.07295482720815,8.0859937767741,262.060614488746,7398.32574254251,0.743300070382702,0.404142106447125,16.965755662568,568.894301977707,0.412768521584894,17.8848412879518,378.539598955285,8663.25822244107,17.8848412879518
"gene9023",2.14845358392779,54.3683981391041,1310.39452753612,0.401394757432172,1.98476040047524,59.9540933876597,1629.7472984661,1.86087390829925,0.233524284354303,7.94831578332378,237.361614381371,0.355913023497578,13.2262954899431,232.219847191573,4744.21063699992,13.2262955432338
"gene9024",1.5899457217472,43.4457206210936,1077.86705939361,0.418487786646438,1.70141378319499,53.6861668365418,1472.4306674907,1.4125063430015,0.2496048523426,8.68473620130317,256.491193795227,0.315660564353948,14.4058259810009,257.926344602311,5255.06175563351,14.4058259721191
"gene9025",0.406884854697864,6.98396554810188,107.496185250966,0.379751750045898,0.517523748300164,9.80787994819821,162.422674634399,0.757336966472621,0.21062280364248,4.25905518852687,74.2667953090859,0.387544289992547,8.73889137942285,93.0386523378957,1130.52374274503,8.73889137054107
"gene9026",0.652945728596421,10.1348834391501,147.254136777519,0.304183753740972,1.06365749097392,19.2276932864388,308.62803043874,1.33984416450517,0.215403050951579,4.43136919159315,77.961694842088,0.438325979956744,8.51959757408594,92.0394099779287,1134.93227956951,8.51959755188147
"gene9027",0.71866872897175,11.6194084398558,177.39818474638,0.71254269151666,0.439254130846223,8.12717779297145,135.833926719897,0.795415653342957,0.125325607669424,2.47585397517014,43.3858838277956,0.282070882207108,7.81140369277011,81.9764240844734,1018.10542162184,7.8114037016519
"gene9028",1.44128256440723,15.9713826519692,193.445463594344,0.573269938186627,0.741260464121041,10.463482134071,145.541419556139,1.80089164025787,0.0899289398503811,1.49920799330516,23.2924188026118,0.372341277810051,4.91652055290004,44.218302939214,489.776817289567,4.91652055067959
"gene9029",3.07332595816945,73.0927733627595,1708.97218595201,0.406241174033539,3.3086788953085,97.5512880074803,2595.74552728736,2.55260792059175,0.207417558684142,7.498626217739,228.351709665731,0.379298175090526,13.1338349973475,240.462503455774,5047.02173202531,13.1338349973475
"gene9030",1.57804714184806,30.0021235943859,558.035110316268,0.683538967649611,1.08052203184883,24.7425391819434,517.632518040045,1.54561003995468,0.145703493714677,3.73997295355366,84.7174419504881,0.311970058675115,9.46530732459649,127.090625099413,2023.32338858469,9.46530732903739
"gene9031",6.93473487523022,118.222123859368,2301.62478942475,3.10723239138611,2.9436241044678,66.1880078212107,1496.58772102157,4.59141071829094,0.120060814623457,3.60172904834144,98.8383635558421,0.52039792919345,6.54647886566551,101.818385047636,1915.50683894093,6.54647886122461
"gene9032",1.53543219028052,18.499805989336,266.52023464635,2.12905929330987,0.279841314565488,4.53915950160422,77.1886035977332,1.7386826556276,0.0294617219509519,0.530845341017994,9.70385357845771,0.244321096687372,3.93157314260151,39.2593949349873,521.101981689753,3.9315731470424
"gene9033",1.11921277134996,18.075322856248,289.937786419614,0.843129228655926,0.710720957641797,13.7517077192228,248.055032443517,1.36039076892303,0.128410917454858,2.74710192371685,53.3730303686752,0.341037775797304,7.82380216168832,88.5508880088537,1206.72840978386,7.82380213948386
"gene9034",0.486259503773567,12.2708928529391,264.578388851078,0.109879838561255,1.935193170155,55.0702699797512,1289.67209548136,1.29326839015675,0.344175941080493,11.1331999619324,284.719385490462,0.413816216848772,14.4998288220677,236.419592738457,4164.42610912782,14.4998288220677
"gene9035",2.19385071886791,57.2403789078635,1404.75090120162,0.29303794946145,2.09863610045602,65.1685381569678,1794.06192728493,1.74909827066472,0.227848229172878,8.00261588551621,240.922004195454,0.320702469025491,13.7767501140473,248.741771429195,5176.52381404332,13.7767501406927
"gene9036",0.839161327093052,28.4927330085338,822.776646600687,0.00566474867014222,3.42557093802043,131.159030729577,4135.01123148308,1.27373500191652,0.466529250786607,20.1112578679385,695.853968863958,0.362873535664221,19.9050957228053,437.936541288764,10332.846595702,19.9050956872782
"gene9037",1.0875235989527,9.05577248300204,93.6724217837082,1.49486547584843,0.202273383598239,2.29235296522745,28.3521038824119,1.42287760240833,0.0327381188824916,0.420859733729628,5.70552032286287,0.324137099383393,2.46316305352323,17.4042882195025,166.842134987633,2.46316305130279
"gene9038",3.99192241706814,44.6226427897045,604.636584000673,0.651997513756442,0.829364019683254,12.5497594538615,199.186731322243,3.35498524961508,0.0459423332710429,0.887814959327216,16.4857067375124,0.390899010938028,2.94774789688645,30.633769565469,403.380114732954,2.94774793019315
"gene9039",0.582564032569621,9.52742993831635,143.592907306811,0.286703789598164,1.06214419925976,20.0029631969301,331.519564156224,1.27489804491177,0.237248216627961,5.03474900881429,91.063978402417,0.44671357279924,8.99457424985428,100.130758227124,1264.62827608975,8.99457424985428
"gene9040",1.6309476080778,32.4522905259528,631.58508169181,0.657543672843985,1.22392054713316,29.2463639084417,642.587357333468,1.64811559955069,0.175540808555752,4.6942790987714,112.405966774531,0.354282789771787,9.98698321375002,139.336105533516,2308.24242976269,9.98698322263181
"gene9041",1.66928815659162,29.5725268273372,537.433032832269,1.18361301204573,0.680925174023628,14.783121642381,305.099850947954,1.39610349947361,0.0962836299578385,2.28568644899951,50.2812611102854,0.262996113775671,8.03185893794023,101.406391621595,1581.06960611804,8.03185892905844
"gene9042",0.816139391623949,10.0269994618429,122.835789682085,0.100379962120201,1.47158053298568,21.8735111801038,300.481897852478,1.77452633920439,0.200656167237412,3.64611615566446,57.3187418240195,0.520685166094381,7.12442712824668,68.4821260676927,756.06246383586,7.12442712824668
"gene9043",1.86227802956296,48.0549357462223,1143.82747597119,0.172071938919771,2.22692085216636,67.7135625437586,1797.16675575037,1.58565176988645,0.258059058566573,8.91684862835973,259.315243056335,0.32781798608994,13.991216514242,247.511441386905,4972.86799145513,13.9912165053602
"gene9044",0.429203474983098,4.33922151543698,43.9971165633324,0.367391130851047,0.58715801776188,7.03973555005177,79.5241368223287,1.27485237477742,0.1507123625899,2.08475652740958,26.0791622963552,0.521615808324327,5.33515339684598,39.7875296442862,351.11431373025,5.33515339462554
